SMILES,docking_score
O=C(NCCC[NH+]1CCOCC1)c1cc2nc([O-])c3ccccc3n2n1,-9.6
O=c1[nH]c2c(c3ccccc13)Cc1cc(S(=O)(=O)NCCCn3cc[nH+]c3)ccc1-2,-11.2
O=C(Nc1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)c1ccc(-c2ccsc2)s1,-10.6
CCC[NH+]1CCC(c2nc3c(C(N)=O)cccc3[nH]2)CC1,-8.9
Cc1c([O-])nnc(Cc2ccc(F)c(C(=O)N3CCC4(CC[NH2+]C4)CC3)c2)c1C,-11.6
CN1CC(=O)N(c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)C(=O)C1,-11.7
NC(=O)c1cccc2cn(Cc3ccccc3)nc12,-9.1
CN(Cc1ccncc1)C(=O)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,-11.2
NC(=O)c1cccc2[nH]c(-c3ccc(-c4nsc([O-])n4)cc3)nc12,-10.1
NC(=O)c1cccc2cn(-c3ccc(CN4CCOCC4)cc3)nc12,-9.8
CN(CCc1c[nH]cn1)C(=O)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,-11.3
O=C(CCn1c2c(c(=O)[nH]c1=O)CCCCC2)NCC(=O)N1CCN(c2ncccn2)CC1,-9.8
O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2ccncc2)cc1,-10.4
C[NH+](C)C1CCN(c2ccc3[nH]c(=O)c4ccccc4c3n2)CC1,-10.7
CN1CCN(c2ccc3[nH]c(=O)c4ccccc4c3n2)CC1,-10.5
O=C1NC[C@@H]2c3c(cccc31)CCN2C(=O)c1cccc(C(=O)N2CCC[NH2+]CC2)c1,-12.0
NC(=O)c1cccc2c1C(=O)N(C[C@@H]1CCC[NH2+]C1)C2,-9.5
COc1cccc(CCC(=O)N2CCCN(C(=O)c3cccc(Cc4n[nH]c(=O)c5ccccc45)c3)CC2)c1,-12.7
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CNC(=O)CCC(=O)Nc2cccc3c2CNC3=O)[C@@H](O)[C@H]1O,-11.4
O=C(CCCN1CCOCC1)Nc1ccc2c(c1)Cc1c-2[nH]c(=O)c2ccccc12,-10.6
CC1=N[C@H]2CCSC[C@H]2C(=O)N1,-5.6
C[C@H](CC[NH2+]C1CCCC1)c1nc2c(C(N)=O)cccc2[nH]1,-8.8
O=C(NCCCN1CCOCC1)c1cc2nc([O-])c3ccccc3n2n1,-9.7
O=C1NC(CCC[N@@H+]2CC=C(c3ccccc3)CC2)=N[C@H]2CCC[C@@H]12,-10.0
O=C1NC[C@@H]2c3c(cccc31)CCN2C(=O)c1ccccc1,-9.6
C[NH+](C)Cc1ccc2c(c1)nc([O-])c1nccn12,-8.0
O=C(NCCc1ccccc1)c1ccc2c(c1)[nH]c(=O)c1cc(F)ccc12,-11.6
NC(=O)c1cccc2[nH]c(-c3ccc(-c4ncc[nH]4)cc3)nc12,-10.3
NC(=O)c1cc(F)cc2[nH]c(-c3ccc([C@H]4CCCC[NH2+]4)cc3)nc12,-10.9
O=C1NCCn2c(-c3ccccn3)cc3cccc1c32,-8.2
O=C1NCCc2c1ccc1[nH]cc(CCNC(=O)N3CC[NH2+]CC3)c21,-10.1
C[C@@H](Oc1ccccc1)C(=O)N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,-12.2
NC(=O)c1cccc2cn(-c3ccc(C(=O)NCCN4CCOCC4)cc3)nc12,-9.9
CN(C1CCC1)C(C)(C)c1nc2c(C(N)=O)cccc2[nH]1,-8.6
O=C1NC[C@@H]2c3c(cccc31)CCN2Cc1ccccc1,-9.9
O=C1NC[C@H]2c3c(cccc31)CCN2C(=O)c1cccc(C(=O)N2CCC[NH2+]CC2)c1,-10.8
COc1ccc(N2CCN(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)CC2)cc1,-10.1
O=C1NC[C@@H]2c3c(cccc31)CCN2C(=O)C1C[NH2+]C1,-9.0
O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CC[NH+](C2CCCCC2)CC1,-11.4
NC(=O)c1cccc2[nH]c(-c3ccc(-c4cn5ccccc5[nH+]4)cc3)nc12,-10.5
O=C1NC[C@H]2c3c(cccc31)CCN2C(=O)Cc1ccccn1,-9.8
O=c1[nH]c2c(c3ccc(F)cc13)C[NH2+]CC2,-9.8
O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,-9.4
O=C1NC[C@@H]2c3c(cccc31)CCN2C(=O)C[NH+]1CCC(c2ccccc2)CC1,-11.2
Cc1c([O-])nnc(Cc2ccc(F)c(C(=O)N3CCN(C(=O)C4([NH2+]CC5CC5)CCC4)CC3)c2)c1C,-10.6
C[N@H+](C1CCC1)C(C)(C)c1nc2c(C(N)=O)cccc2[nH]1,-8.6
O=c1[nH]c2c(c3ccccc13)CCNC2,-9.4
CC[C@H](C)CN(C)C(=O)C1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,-11.0
Cc1c([O-])nnc(Cc2ccc(F)c(C(=O)N3CCN(C(=O)C4([NH2+]CC5CC5)CCCC4)CC3)c2)c1C,-11.5
CC(C)(C)C(=O)N1CCN(C(=O)c2cc(Cc3c[nH]c(=O)c4cc(Cl)c(Cl)n34)ccc2F)CC1,-9.9
N/C(=N/O)[C@H]1c2cccc3c2N(CCNC3=O)[C@H]1c1ccc(F)cc1,-9.1
CN(CCc1c[nH]c[nH+]1)C(=O)c1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)CCC4,-11.3
NC(=O)c1ccccc1OCc1cccc(C(=O)N2CC[NH2+]CC2)c1,-10.1
O=c1[nH]c2cc(C[N@@H+]3CC=C(c4ccccc4)CC3)ccc2c2ccccc12,-12.5
NC(=O)c1cccc2[nH]c([C@H]3CC[N@@H+](C4CCCC4)C3)nc12,-9.4
O=C1NC[C@@H]2c3c(cccc31)CCN2C(=O)NCc1ccccc1,-10.0
O=C1NC(CCC[N@@H+]2CC=C(c3ccccc3)CC2)=N[C@H]2CCOC[C@H]12,-9.9
NC(=O)c1cccc2[nH]c([C@@]3([NH3+])CCc4ccccc4C3)nc12,-10.4
NC(=O)c1cc(F)cc2[nH]c(-c3ccc([C@@H]4CCCC[NH2+]4)cc3)nc12,-10.9
C[N@@H+]1CCC[C@@H](C(=O)NCc2ccc(-n3cc4cccc(C(N)=O)c4n3)cc2)C1,-10.4
C[N@@H+]1CC[C@H](CNC(=O)c2cc3nc([O-])c4ccccc4n3n2)C1,-10.1
O=C(NC1CCCC1)C1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,-12.3
C[NH+]1CCN(Cc2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)CC1,-9.8
C[NH2+]Cc1ccc(-n2cc3cc(F)cc(C(N)=O)c3n2)cc1,-9.0
O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCCN(C(=O)N2CCOCC2)CC1,-13.1
C[NH2+]C1(C(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c(C)c4C)ccc3F)CC2)CC1,-10.8
C[NH+](C)Cc1ccc2c(c1)NC(=O)[C@@H]1CCCN21,-8.3
O=C(NCCC1(N2CCOCC2)CCCC1)c1cc2nc([O-])c3ccccc3n2n1,-10.8
C[NH+]1CCC(C(=O)NCCc2c[nH]c3ccc4c(c23)CCNC4=O)CC1,-10.0
C[NH+]1CCN(Cc2ccc(-n3cc4cccc(C(N)=O)c4n3)cc2)CC1,-10.1
NC(=O)c1cc(F)ccc1OCc1ccc(F)c(C(=O)N2CCN(C(=O)C3CCCC3)CC2)c1,-11.2
O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2cccnn2)CC1,-10.6
O=c1[nH]c2cc(CNCCC[NH+]3CCOCC3)ccc2n2cccc12,-9.7
CC[N@@H+]1CC[C@H](Oc2ccc3[nH]c(=O)c4c(c3c2)CCSC4)C1,-9.6
Cc1ccn2c(n1)nc1c3ccccc3c(=O)[nH]c12,-9.9
O=c1[nH]c2c(c3ccccc13)Cc1cc(S(=O)(=O)NCCC[NH+]3CCOCC3)ccc1-2,-11.3
NC(=O)c1cccc2cn(-c3ccc(C(=O)N4CCC[NH2+]CC4)cc3)nc12,-10.6
O=c1[nH]c2cc(C[NH+]3CCCC3)ccc2n2ccnc12,-8.9
CN1CC[NH+](Cc2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)CC1,-9.8
O=C1NCc2cccc3cccc1c23,-9.1
O=C1NCc2c[nH]c3cccc1c23,-8.8
O=C1NC[C@H]2c3c(cccc31)CCN2C(=O)Oc1ccccc1,-9.7
O=c1[nH]c(C2=C[C@@H]([N@@H+]3CC=C(c4ccccc4)CC3)CCC2)nc2ccccc12,-11.5
C[N@@H+]1CC[C@@H](C(=O)NCCc2c[nH]c3ccc4c(c23)CCNC4=O)C1,-10.0
O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCN(c2cccnc2)CC1,-10.0
O=c1[nH]c2c(c3ccccc13)CN(S(=O)(=O)CCN1CCC([NH+]3CCCC3)CC1)CC2,-11.8
