SMILES,docking_score
O=C1[C@@H]2C[C@H](Oc3ccc(-c4ccc(Br)cc4)cc3)CN2C(=O)N1c1cc(Cl)cc(Cl)c1,-9.1
C[NH+]1CCN(c2ccccc2Sc2ccc([C@@H]3C[C@@H]3C(=O)NCCCN3CCCC3=O)cc2C(F)(F)F)CC1,-8.3
CN1C(=O)N(c2cc(Cl)cc(Cl)c2)C(=O)[C@]12CNC[C@H]2c1ccc(C#N)cc1,-7.3
O=C(/C=C/c1ccc(Sc2cccc(NC3CCCCC3)c2)c(C(F)(F)F)c1C(F)(F)F)N1CCOCC1,-9.1
CC(C)c1ccccc1Sc1ccc(-c2cc(N3CCC[C@H](c4nnn[n-]4)C3)ncn2)cc1C(F)(F)F,-9.3
C[C@]1(Cc2ccc(Br)cc2)C(=O)N(c2cc(Cl)cc(Cl)c2)c2nnnn21,-8.9
O=C(/C=C/c1ccc(Sc2cccc(NC3CCOCC3)c2)c(C(F)(F)F)c1C(F)(F)F)N1CCOCC1,-8.5
CC(C)c1ccccc1Sc1ccc([C@@H]2C[C@@H]2C(=O)N2CCC[C@H](C(=O)[O-])C2)c(Cl)c1Cl,-8.2
O=C(/C=C/c1ccc(Sc2ccccc2OC2CCOCC2)c(C(F)(F)F)c1C(F)(F)F)N1CCOCC1,-8.5
CC(C)c1ccccc1Sc1ccc(-c2cc(N3CC[C@@H](O)C3)nc[nH+]2)cc1C(F)(F)F,-9.1
CC(C)c1ccccc1Sc1ccc(-c2cc(NCCCn3ccnc3)ncn2)cc1C(F)(F)F,-8.2
CC(C)c1ccccc1Sc1ccc(/C=C/C(=O)N2CC=C[C@H]2C(=O)[O-])cc1C(F)(F)F,-8.3
CC(=O)N[C@@H]1CCN(c2cc(-c3ccc(Sc4ccc5c(c4)OCCO5)c(C(F)(F)F)c3)ccn2)C1,-8.7
O=C(NCCCN1CCCC1=O)[C@@H]1C[C@H]1c1ccc(Sc2ccccc2N2CCCC2)c(C(F)(F)F)c1,-8.6
CC(C)c1ccccc1Sc1ccc(-c2cc[nH+]c(N3CCC(c4nn[nH]n4)CC3)c2)cc1C(F)(F)F,-9.7
CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3cccc4ccn(C)c34)c(Cl)c2)CC1,-8.7
O=C1[C@@H]2C[C@H](OCc3cccc(-c4ccc(Br)cc4)c3)CN2C(=O)N1c1cc(Cl)cc(Cl)c1,-10.1
Cc1ccc(C(=O)N2CCc3c(cc(Cl)c(C(=O)N[C@@H](CNC(=O)c4cccs4)C(=O)[O-])c3Cl)C2)cc1,-8.5
CC(C)c1ccccc1Sc1ccc(-c2cc(N3CCC[C@@H](C(=O)[O-])C3)ncn2)cc1C(F)(F)F,-9.0
CN1C(=O)N(c2cc(Cl)cc(Cl)c2)C(=O)[C@]12CNC[C@@H]2c1ccc(C#N)cc1,-8.0
O=C([O-])[C@@H]1CCCN(c2ccccc2Sc2ccc([C@H]3C[C@H]3C(=O)NCCCN3CCCC3=O)c(Cl)c2Cl)C1,-9.0
CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc4[nH]ccc4c3)c(Cl)c2)CC1,-8.6
O=C(/C=C/c1ccc(Sc2cccc(NC3CCCC3)c2)c(C(F)(F)F)c1C(F)(F)F)N1CCOCC1,-9.3
O=C(NCCCN1CCCC1=O)[C@H]1C[C@@H]1c1ccc(Sc2ccccc2N2CCOCC2)c(C(F)(F)F)c1,-8.2
CC(=O)N1CCN(c2nc(-c3ccc(Sc4ccccc4C(C)C)c(C(F)(F)F)c3)cs2)CC1,-8.9
CN1C(=O)N(c2cc(Cl)cc(Cl)c2)C(=O)[C@]12CN(c1ncc(C(=O)[O-])s1)C[C@H]2c1ccc(C#N)cc1,-6.9
CC(C)c1ccccc1Sc1ccc(-c2cc(N3CCC[C@@H](C(=O)[O-])C3)nc[nH+]2)cc1C(F)(F)F,-9.0
CC(=O)N1CCN(c2cc(-c3ccc(Sc4ccc5c(c4)OCCO5)c(C(F)(F)F)c3)ccn2)CC1,-9.0
CC(C)c1ccccc1Sc1ccc(/C=C/C(=O)N2CCO[C@H](c3nnn[n-]3)C2)cc1[N+](=O)[O-],-9.0
