SMILES,docking_score
N#CC1=C(N)[C@H]2Cc3cc(O)c([C@H]4COCCO4)cc3O[C@H]2CC1=N,-8.6
[NH3+]C[C@H]1CNC(=O)c2cc3ccc(C(=O)Nc4cccnc4)cc3n2C1,-9.4
C[C@@H]1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NC5CC[NH+](C)CC5)cs4)cc3c21,-9.2
C[C@@H]1CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NC5CCOCC5)cs4)cc3n21,-9.1
[NH3+]C[C@@H]1Cc2c([nH]c3ccc(C(=O)Nc4cccnc4)cc23)C(=O)N1,-9.5
CC1(C)CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NC5CCCCC5)cs4)cc3n21,-9.9
[NH3+]C[C@@H]1Cn2c(cc3ccc(C(=O)Nc4cccnc4)cc32)C(=O)N1,-9.6
CC(=O)/C1=C/Cn2c3ccccc3c3c4c(c5c6ccccc6n(c5c32)C1)C(=O)NC4=O,-9.9
N#CC1=C(N)[C@@H]2Cc3cc(O)c([C@H]4COCCO4)cc3O[C@H]2[CH-]C1=[NH2+],-8.2
COc1ccc(-n2cc(-c3ccc4c(c3)C(=O)NCC4)c(N)n2)cc1,-9.5
NC(=O)[C@@H](/N=C1\C(=O)C(=O)[C@H]1N=c1cc[nH]cc1)c1cccc(O)c1,-8.4
C[C@H]1CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NC5CCCCC5)cs4)cc3n21,-9.2
C[C@H]1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NC5CCCCC5)cs4)cc3c21,-9.4
N#CC1=C(N)[C@@H]2Cc3ccc(O)cc3O[C@@H]2[CH-]C1=[NH2+],-7.1
N#CC1=C(N)[C@@H]2Cc3cc(O)c(O)cc3O[C@H]2CC1=N,-8.5
C[C@@H]1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)N5CCC([NH+](C)C)CC5)cs4)cc3c21,-9.3
C[C@H]1CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NC5CC[NH+](CC(C)(C)C)CC5)cs4)cc3n21,-9.0
C[C@H]1CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NC5CCOCC5)cs4)cc3n21,-9.3
O=C(NC1CCCC1)c1ccc(-c2cc(-c3cc4c([nH]3)CCNC4=O)ccn2)cc1,-9.7
N#CC1=C(N)[C@@H]2Cc3ccc(O)cc3O[C@H]2CC1=N,-8.4
Nc1nc(Nc2ccc3[nH]nc(-c4ccc5ccccc5c4)c3c2)cc[nH+]1,-10.1
O=C(c1ccc(/C=C/c2cc(-c3cc4c(=O)[nH]cnc4[nH]3)ccn2)cc1)N1CCOCC1,-9.8
N#CC1=C(N)[C@@H]2Cc3cc(O)c(O)cc3O[C@H]2[CH-]C1=[NH2+],-8.1
N#CC1=C(N)[C@H]2Cc3cc(O)c(O)cc3O[C@@H]2CC1=N,-8.2
C[NH+]1CCN(c2ccc(Nc3cc[nH+]c4ccc(-c5ccc(Cl)cc5)cc34)cc2)CC1,-10.1
Nc1nc(Nc2cc(-c3ccc4ccccc4c3)c3n[nH]cc3c2)cc[nH+]1,-10.3
N#CC1=C(N)[C@@H]2Cc3cc4c(cc3O[C@@H]2[CH-]C1=[NH2+])OCCO4,-7.0
O=C1NCCc2[nH]c(-c3ccnc(-c4cc5ccccc5s4)c3)cc21,-9.5
N#CC1=C(N)[C@@H]2Cc3cc(O)c([C@@H]4COCCO4)cc3O[C@H]2CC1=N,-8.3
C[C@H](/N=C1\C(=O)C(=O)[C@H]1Nc1cc[nH+]cc1)c1cccc(O)c1,-8.2
O=C1NCCc2[nH]c(-c3ccnc(/C=C/c4ccccc4)c3)cc21,-9.5
N#CC1=C(N)[C@@H]2Cc3cc(O)c([C@@H]4COCCO4)cc3O[C@H]2[CH-]C1=[NH2+],-8.3
N#Cc1ncc2nc1OCCCCCOc1cc(OCCCO)c(Cl)cc1NC(=O)N2,-8.5
O=C(Nc1nc(C(=O)NC2CC[NH+](Cc3ccccc3)CC2)cs1)c1ccc2cc3n(c2c1)C1(CCC1)CNC3=O,-9.5
NC(=O)[C@H](/N=C1\C(=O)C(=O)[C@H]1Nc1cc[nH+]cc1)c1cccc(O)c1,-8.2
C[C@@H]1CNC(=O)c2[nH]c3ccc(C(=O)Nc4cccc(C#N)c4)cc3c21,-9.1
Nc1nc(Nc2cc(-c3ccc4ccccc4c3)c3[nH]ncc3c2)cc[nH+]1,-9.4
C[C@@H]1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ccncc4)cc3c21,-8.5
O=C1NCCc2[nH]c(-c3ccncc3)cc21,-7.2
N#CC1=C(N)[C@@H]2Cc3cc(O)c(O)cc3O[C@@H]2[CH-]C1=[NH2+],-6.8
O=C(Nc1cccnc1)c1ccc2cc3n(c2c1)CCCNC3=O,-9.1
Nc1ncc2c(n1)c(-c1cc(-c3cc4ccccc4s3)c3[nH]ncc3c1)cn2CCC1CC[NH2+]CC1,-9.9
O=C(Nc1nccs1)c1ccc2cc3n(c2c1)C[C@@H](CO)CNC3=O,-8.9
N#CC1=C(N)[C@@H]2Cc3ccc(O)cc3O[C@H]2[CH-]C1=[NH2+],-8.2
O=c1[nH]cnc2[nH]c(-c3ccnc(/C=C/c4ccc(CN5CCOCC5)cc4)c3)cc12,-9.4
NC(=O)[C@@H](/N=C1\C(=O)C(=O)[C@H]1Nc1cc[nH+]cc1)c1cccc(O)c1,-8.2
C[NH+](C)CCOc1ccc(/C=C/C2=C[C-](C3=NC4=NC=[NH+]C(=O)C4=C3)C=CN2)cc1,-8.6
C[C@H]1CNc2c(sc3ccc4ncccc4c23)C(=O)N1,-8.4
C[C@H](/N=C1/C(=O)C(=O)[C@H]1Nc1cc[nH+]cc1)c1cccc(O)c1,-8.0
N#CC1=C(N)[C@@H]2Cc3cc4c(cc3O[C@H]2CC1=N)OCCO4,-8.0
N#CC1=C(N)[C@H]2Cc3ccc(O)cc3O[C@H]2[CH-]C1=[NH2+],-7.8
C[C@H]1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ccc(C(N)=O)cc4)cc3c21,-9.7
C[C@@H]1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NCCC(N)=O)cs4)cc3c21,-9.0
Nc1nn(-c2cccc(-c3ccc4cc[nH]c4c3)c2)cc1-c1ccc2c(c1)CCNC2=O,-10.9
NC(=O)[C@H](/N=C1/C(=O)C(=O)[C@H]1N=c1cc[nH]cc1)c1cccc(O)c1,-7.6
C[C@H](/N=C1/C(=O)C(=O)[C@H]1Nc1ccncc1)c1cccc(O)c1,-8.1
Nc1nn(-c2cccc(-c3ccc4nc[nH]c4c3)c2)cc1-c1ccc2c(c1)CCNC2=O,-10.8
COc1ccc(-n2cc(-c3ccc4c(c3)C(=O)NCCO4)c(N)n2)cc1,-9.7
[NH3+]C[C@@H]1Cn2c(cc3ccc(C(=O)Nc4nccs4)cc32)C(=O)N1,-9.1
Nc1nccc(Nc2ccc3[nH]nc(-c4ccc[nH]4)c3c2)n1,-8.3
C[C@H]1CNc2c(sc3ccc4nc(Cl)ccc4c23)C(=O)N1,-9.0
C[C@H]1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ccncc4)cc3c21,-9.3
O=C(NCCc1ccccc1)c1ccc(-c2cc(-c3cc4c([nH]3)CCNC4=O)ccn2)cc1,-9.7
Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)NCCO)cc3)ccnc21,-9.6
C[C@@H](/N=C1/C(=O)C(=O)[C@H]1/[NH+]=c1\cc[nH]c(Nc2ccncn2)c1)c1ccccc1,-8.3
C[C@@H]1CNC(=O)c2cc3ccc(C(=O)Nc4nc(C(=O)NCC(C)(C)C)cs4)cc3n21,-9.0
O=C(NCc1ccccc1)c1ccc(-c2cc(-c3cc4c([nH]3)CCNC4=O)ccn2)cc1,-10.3
O=C1N=C([CH-]c2ccccc2)N=C2N=C([C-]3C=CNC(/C=C/c4ccccc4)=C3)C=C12,-9.8
O=C1NCCc2[nH]c(-c3ccnc(-c4ccsc4)c3)cc21,-8.5
C[C@H](/N=C1/C(=O)C(=O)[C@H]1N=c1cc[nH]cc1)c1cccc(O)c1,-8.1
COc1ccc2[nH]c3c(c2c1)[C@H]1CC[N@H+](C1)[C@@H]3C(=O)[O-],-8.2
N#CC1=C(N)[C@@H]2Cc3cc(O)c([C@@H]4COCCO4)cc3O[C@@H]2[CH-]C1=[NH2+],-7.1
[NH3+]C[C@@H]1CNC(=O)c2cc3ccc(C(=O)Nc4nccs4)cc3n2C1,-9.3
N#CC1=C(N)[C@H]2Cc3cc(O)c([C@@H]4COCCO4)cc3O[C@H]2CC1=N,-8.1
C[C@H]1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)N5CCC([NH+](C)C)CC5)cs4)cc3c21,-9.4
N#CC1=C(N)[C@H]2Cc3cc4c(cc3O[C@@H]2[CH-]C1=[NH2+])OCCO4,-7.9
C[C@@H](/N=C1\C(=O)C(=O)[C@H]1/N=c1\cc[nH]c(Nc2ccncn2)c1)c1ccccc1,-8.9
N#CC1=C(N)[C@H]2Cc3cc4c(cc3O[C@H]2CC1=N)OCCO4,-7.9
N#CC1=C(N)[C@@H]2Cc3cc(O)c([C@H]4COCCO4)cc3O[C@@H]2[CH-]C1=[NH2+],-7.2
C[C@H]1CNc2c(sc3ccc4nc(-c5cccnc5)ccc4c23)C(=O)N1,-9.6
N#CC1=C(N)[C@H]2Cc3cc(O)c(O)cc3O[C@H]2CC1=N,-8.1
C[C@H]1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NCC[NH3+])cs4)cc3c21,-9.2
N#CC1=C(N)[C@H]2Cc3cc(O)c([C@H]4COCCO4)cc3O[C@H]2[CH-]C1=[NH2+],-8.6
O=C1NCCc2[nH]c(-c3ccnc(-c4cccnc4)c3)cc21,-8.9
Nc1nccc(Nc2cc(-c3ccc4ccccc4c3)c3n[nH]cc3c2)n1,-9.4
NC(=O)[C@@H](/N=C1/C(=O)C(=O)[C@H]1Nc1cc[nH+]cc1)c1cccc(O)c1,-7.9
C[NH+]1CCC(NC(=O)c2csc(NC(=O)c3ccc4cc5n(c4c3)C3(CCC3)CNC5=O)n2)CC1,-9.8
Nc1nn(-c2cccc(-c3ccc4c(c3)NC(=O)C4)c2)cc1-c1ccc2c(c1)CCNC2=O,-11.1
C[C@@H](/N=C1/C(=O)C(=O)[C@H]1N=c1cc[nH]cc1)c1cccc(O)c1,-7.8
O=C(Nc1nccs1)c1ccc2cc3n(c2c1)C[C@H](CO)CNC3=O,-9.4
C[C@@H]1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ccc(C(N)=O)cc4)cc3c21,-9.8
O=C(NC1CCCCC1)c1ccc(-c2cc(-c3cc4c([nH]3)CCNC4=O)ccn2)cc1,-9.6
N#CC1=C(N)[C@H]2Cc3ccc(O)cc3O[C@@H]2[CH-]C1=[NH2+],-8.0
C[C@H]1CNc2c(sc3ccc4c(c23)CCO4)C(=O)N1,-8.2
[NH3+]C[C@H]1Cc2c([nH]c3ccc(C(=O)Nc4cccnc4)cc23)C(=O)N1,-8.7
Nc1nccc(Nc2ccc3n[nH]c(-c4cc5ccccc5s4)c3c2)n1,-9.4
Nc1nccc(Nc2ccc3n[nH]c(-c4ccc5ccccc5c4)c3c2)n1,-9.8
C[C@@H](/N=C1\C(=O)C(=O)[C@H]1Nc1cc[nH+]c(Nc2ccncn2)c1)c1ccccc1,-8.3
Cc1ccncc1-c1ccc2c(ccc3sc4c(c32)NC[C@H](C)NC4=O)n1,-9.6
COc1ccc(C2=C[C-](C3=NC4=NC=NC(=O)C4=C3)C=CN2)cc1,-8.9
N#CC1=C(N)[C@H]2Cc3cc(O)c([C@@H]4COCCO4)cc3O[C@H]2[CH-]C1=[NH2+],-8.5
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,-7.9
