SMILES,docking_score
Cc1cccc(-c2[nH]c(Cc3cccc(C#N)c3)nc2-c2ccc3ncccc3c2)n1,-11.2
Cc1cccc(-c2nc(C)cc(Nc3ccncc3)n2)n1,-10.0
O=C(NC1CCOCC1)c1ccc(-c2cc(-c3cn[nH]c3-c3ccccn3)ccn2)cc1,-10.5
COc1ccc2cc(-c3c(-c4ccncc4)nc(-c4ccc([S@](C)=O)cc4C)n3C)ccc2c1,-11.3
Cc1cccc(-c2nc(Nc3ccncc3)c3ccccc3n2)n1,-10.9
O=C(Nc1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1)C1CCOCC1,-10.5
c1ccc(-c2nc3n(c2-c2ccc4c(c2)OCO4)CCC3)nc1,-10.6
CN1CCN(C(=O)COc2ccc3c(-c4c(-c5ccccn5)nn5c4CCC5)ccnc3c2)CC1,-11.4
Cc1cccc(-c2[nH]ncc2-c2ccc(Cl)cc2)n1,-9.4
Cc1cccc(-c2nc(CNc3ccc(C#N)cc3)[nH]c2C2=CC=C3OCO[C@@H]3C2)n1,-11.0
Cc1nc(-c2[nH]c(N)nc2-c2ccc3nccnc3c2)ccc1F,-11.1
C[NH+](C)CCOc1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1,-9.7
Cn1c(-c2ccc3nccnc3c2)c(-c2ccc3nonc3c2)c(=O)n1C,-11.4
Cn1c(-c2ccc3nccnc3c2)c(-c2ccsc2)c(=O)n1C,-9.5
Cc1cccc2ccc(-c3sc(N)nc3-c3ccccn3)nc12,-10.5
CC(=[OH+])[N-]c1nc(-c2ccc(F)c(C)n2)c(-c2ccc3ncnn3c2)[nH]1,-11.1
NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,-11.3
Cc1cccc(-c2nc(NCc3ccc(C#N)cc3)[nH]c2C2=CC=C3OCO[C@@H]3C2)n1,-11.0
COc1ccccc1/N=c1\cc(Oc2cc(C)c(C)nc2-c2ccccn2)cc[nH]1,-10.7
Cc1cc(Oc2ccnc(Nc3cccc(N4CCOCC4)c3)c2)c(-c2ccccn2)nc1C,-11.2
C[NH+]1CCN(CCCOc2ccc3c(-c4c(-c5ccccn5)nn5c4CCC5)ccnc3c2)CC1,-11.1
c1csc(-c2[nH]ncc2-c2ccnc3ccccc23)c1,-9.2
Nc1nc(-c2ccc(F)cc2)c(-c2ccc3ncccc3n2)s1,-11.4
Cc1ccc(Oc2cc[nH]/c(=N/c3ccc(S(N)(=O)=O)cc3)c2)c(C)n1,-9.4
Cn1c(-c2ccc3nccnc3c2)c(-c2cccs2)c(=O)n1C,-9.7
Cc1cccc(-c2nn3c(c2-c2ccc4ncn(CCC[NH+]5CCCCC5)c4c2)CCC3)n1,-11.9
Cc1cc(Oc2cc[nH]/c(=N\c3cccc(N4CCOCC4)c3)c2)c(-c2ccccn2)nc1C,-10.2
Cc1cccc(-c2[nH]c(NCc3cccc(C#N)c3)[nH+]c2-c2ccc3c(c2)OCO3)n1,-11.0
Nc1nc(-c2ccccn2)c(-c2ccnc3ccccc23)s1,-10.2
c1ccc(-c2n[nH]c(C3CC3)c2-c2ccnc3ccccc23)nc1,-10.2
FC(F)(F)c1cccc(-c2n[nH]cc2-c2ccnc3ccccc23)c1,-12.1
Cc1cccc(-c2nn3c(c2-c2ccc4ncn(C)c4c2)CCC3)n1,-11.9
Cc1nc(-c2[nH+]c(N3CCOCC3)[nH]c2-c2ccc3ncnn3c2)ccc1F,-11.2
Cc1cccc(-c2[nH]c(CNc3ccc(C(N)=O)cc3)nc2C2=C[C@@H]3N=CCN[C@H]3C=C2)n1,-11.0
c1ccc(-c2nn3c(c2-c2ccnc4cc(OC[C@H]5CCCO5)ccc24)CCC3)nc1,-11.3
