SMILES,docking_score
C=CCOc1ccc([C@@H]2C(C(=O)c3ccc(C)cc3)=C([O-])C(=O)N2c2nnc(SCC)s2)cc1OC,-7.6
C=CCOc1ccc([C@H]2c3c(oc4cc(C)c(C)cc4c3=O)C(=O)N2c2ccc(C)c(C)c2)cc1OCC,-8.2
CCOC(=O)C1=NN(c2ccc(Br)cc2)[C@@]2(S1)S[C@H](c1ccccc1)c1ccccc12,-7.0
CCc1ccc2nc(N(Cc3ccccc3)C(=O)CS(=O)(=O)c3ccc(Cl)cc3)sc2c1,-8.8
CC(C)(C)c1ccc(OCCn2cc(/C=C3\C(=O)N(Cc4ccco4)C(=O)N=C3[O-])c3ccccc32)cc1,-9.1
N#Cc1c2c(c(N3CC[NH+](C(c4ccccc4)c4ccccc4)CC3)n3c1nc1ccccc13)CCC2,-10.3
CCOc1ccccc1-n1c([C@H](C)N(CC[NH+](C)C)C(=O)COc2ccccc2)nc2ccccc2c1=O,-7.7
COc1ccc([C@@H]2C(C#N)=C(SCC(=O)N3c4ccccc4C[C@H]3C)N=C3CC(C)(C)CC(=O)[C@@H]32)cc1,-9.2
O=C1/C(=N\S(=O)(=O)c2cccs2)C(N2CCN(/C=C/c3ccccc3)CC2)=C([O-])c2ccccc21,-8.1
O=[S@]1CC2(CC[NH+](C[C@@H]3CN(S(=O)(=O)c4ccccc4)C[C@@H]3c3ccccc3)CC2)c2ccccc21,-10.2
COc1ccc2nc(N(/N=C/c3ccc(Br)cc3)C(=O)c3ccc(N(C)C)cc3)sc2c1,-7.9
C=C1[C@@H](O)[C@@H]2/C=C\C[C@@H](C)CCCC(=O)/C=C\C(=O)O[C@@]23C(=O)N[C@@H](Cc2ccccc2)[C@H]3[C@H]1C,-9.8
CC(=O)c1ccc(NC(=O)CSc2nc3sc4c(c3c(=O)n2-c2ccccc2)CC[C@@H](C)C4)cc1,-8.7
CC1=NN(c2ccc(Br)cc2C)C(=O)/C1=C/c1c([O-])[nH]c(=O)n(-c2cccc(C)c2)c1=O,-9.9
CCC[NH2+][C@@H](c1ccc(Br)o1)c1ccc(OC)cc1Br,-7.7
Cc1cc(-n2c(SCC(=O)N3C[C@@H](C)C[C@H](C)C3)nc3ccsc3c2=O)ccc1F,-8.8
Cc1ccc(SCCC(=O)N(CCc2cccs2)c2nc3ccc(S(C)(=O)=O)cc3s2)cc1,-8.3
CCOc1ccc(-c2c(C)sc(NC(=O)COc3ccc(Br)cc3)c2C(=O)OC)cc1,-7.1
