SMILES,docking_score
Cc1cc(Cl)ccc1NC(=O)C(=O)N/N=C/c1ccco1,-7.3
C[C@H](NS(=O)(=O)c1ccc(Br)cc1N)c1nncn1C,-6.8
CC[NH2+]CC(=O)/N=c1\[nH]c(-c2ccc(Cl)cc2)cn1-c1ccc(OC)c(OC)c1,-7.8
Nc1ccc2c(c1)CCCN2C(=O)c1ccc(Cl)cc1F,-8.1
CSc1nc(NNC(=O)/C=C/c2ccccc2)c2c3c(sc2n1)CCCC3,-8.5
O=C(CN1CCCc2ccccc21)NNC(=O)Nc1ccc(Cl)c(Cl)c1,-8.9
CC[C@@H](NC(=O)CN1C(=O)N[C@@]2(CCc3ccccc32)C1=O)c1ccc(Br)cc1,-8.2
Cc1nn(-c2nc3c(cc2C(N)=S)CCCC3)c(C)c1Br,-6.8
NC(=O)c1nn2c(c1Br)N[C@@H](c1cccs1)C[C@@H]2C(F)(F)F,-6.9
CC[C@H]1CO[C@H](C)CN1S(=O)(=O)c1cc(N)cs1,-6.2
Cc1ccc(C(=O)Nc2c(C)cc(Br)cc2C)c(O)c1,-8.1
NC(=O)[C@@H]1CC(C(=O)NC[C@@H](C2=c3ccccc3=[NH+]C2)c2cccs2)=NN1c1ccccc1,-9.3
CCNC(=O)Nc1ccc(C)cc1Br,-6.0
C/C(N)=N\S(=O)(=O)c1cc(Br)ccc1Br,-6.5
CSNC[C@@H](c1ccc(-c2ccccc2)cc1)N1CC[NH2+][C@H](O)C1,-7.7
CC1(C)CN(C(=O)COc2ccccc2N)CCO1,-6.9
NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(Br)cc32)cc1,-8.4
Cc1ccc(Cn2ccc3c2CC(C)(C)C[C@@H]3O)o1,-7.4
NC(=O)C1CCN(c2nc3ccccc3cc2/C=C2\SC(=S)N(C3CCCC3)C2=O)CC1,-8.5
CCN1CCC2=C(C1)[C@@H](NCc1ccccc1)N=C1N=[NH+]C(N)=C12,-7.9
Nc1cc(Br)cnc1NC[C@@H]1CCS(=O)(=O)C1,-6.4
O=C(Nc1ccc(Br)cc1O)c1ccc(=O)[nH]c1,-7.3
Cc1cc(C)c(C(N)=O)c(NC(=O)Nc2cccc(C(F)(F)F)c2)n1,-8.4
CC(C)NC(=O)c1ccccc1NC(=O)[C@H]1CCN(S(C)(=O)=O)c2ccccc2O1,-8.0
[NH-]C1=N[C@@H](Nc2ccc(Cl)c(Cl)c2)C2=NC=NC2=[NH+]1,-7.7
CN(CCOc1ccc(Br)cc1)c1ccc(C(N)=[NH2+])cc1,-7.1
NS(=O)(=O)CSc1ccccc1,-5.7
C[C@@H]1C[C@H](C)C[N@H+](Cc2c(O)c(=O)cc(CO)n2CCO)C1,-7.4
COc1ccccc1C[C@H](C)NC(=O)[C@H]1CN(C(=O)c2cccnc2Cl)CC12CC[NH2+]CC2,-8.0
Cc1ccc(Nc2ncnc(Nc3cc(Cl)ccc3C)c2N)nc1,-8.2
Cc1sc2nc(CS[C@@H](C)C(=O)Nc3ccccc3O)[nH]c(=O)c2c1C,-8.5
Cc1c(Cl)cccc1NC(=O)[C@@H](C)Sc1nnc(-c2cccs2)n1N,-8.0
Cc1ccc(OC[C@@H]2NN[C@@H](SCc3cc(=O)c4cccc(Cl)c4[nH]3)N2C)cc1,-9.4
C[C@@H]1CCC[C@@H](N(C)C(=O)Cn2cc(N)ccc2=O)C1,-7.2
O=S(=O)(Nc1ccccc1C1=NCCc2ccccc21)c1cccc2nsnc12,-8.9
NC(=S)N1CCN(c2ccccc2Cl)CC1,-6.7
Cc1ccc(C(=O)N2CCC[N@@H+](CC(=O)[O-])CC2)c(O)c1,-7.3
CC(C)(CO)NC(=O)[C@H]1CCCN(C(N)=O)C1,-6.4
Oc1c(Br)cc(Br)cc1/C=N/NC1=N[C@H]2[NH+]=c3ccccc3=C2N=[NH+]1,-8.7
O=C1[C@@H]2[C@H](Cc3c[nH]c4ccccc34)N[C@]3(C(=O)Nc4ccc(Cl)cc43)[C@@H]2C(=O)N1c1ccccc1,-9.9
[NH3+][C@@H](c1ccc2[nH]c(=O)oc2c1)c1cc(Br)ccc1Cl,-7.8
CN(CC(=O)NCC[NH+]1CCN(c2ccccc2F)CC1)S(=O)(=O)c1ccc2c(c1)CCC(=O)N2,-8.7
CCn1c([C@@H](C)NS(=O)(=O)c2cc(C(N)=O)n(C)c2)nc2ccccc21,-7.6
O=C(N[C@@H](O)C(Cl)(Cl)Cl)N[C@@H](O)C(Cl)(Cl)Cl,-5.9
NNc1snnc1COc1c(Br)cc([N+](=O)[O-])cc1Br,-7.1
Cc1ccccc1CC(=O)N1C[C@@H](C(=O)NCC(=O)N(C)C)C2(CC[NH2+]CC2)C1,-7.9
Cc1ccc2c(c1)[nH]c(=S)n2[C@@H]1CCCC[C@H]1O,-6.9
CN(C(=O)c1cc(Br)cnc1NN)[C@H]1CCSC1,-6.6
CC(C)[C@@H](Sc1n[nH]c(=O)n1C1CC1)C(=O)NC(N)=O,-7.1
Cc1ccc(C(=O)N2CCN(S(=O)(=O)c3ccc(C(C)(C)C)cc3)CC2)c(O)c1,-8.1
O=C(NCCOc1ccc(F)cc1)[C@@H]1CN(C(=O)c2ccc(OC(F)(F)F)cc2)CC12CC[NH2+]CC2,-7.9
N[C@H]1C(=O)N(CCO)c2c(Br)cc(F)cc21,-6.5
C[C@]1(c2ccccc2)C[C@](O)(C(F)(F)F)N(C(N)=O)N1,-8.2
CCn1nc(C)c(CNC(=O)C2CCN(C(=O)Nc3cccc(C)c3)CC2)c1C,-8.7
O=C(/C(=C(\[S-])Nc1ccccc1)[n+]1cccc([O-])c1)c1ccc([N+](=O)[O-])cc1,-8.3
O=C(NC[C@@H]1CCCO1)NNC(=O)[C@H]1CCCN(C(=O)Cc2ccccc2)C1,-9.3
C=C(NNc1ccccc1)c1c([O-])n2c3c(cccc3c1=O)CCC2,-9.1
O=S(=O)([N-]c1ccc(Cl)cc1F)[C@H]1CCC[NH2+]C1,-7.5
Cc1cccc2c1=[NH+][C@@H]1[NH+]=C(N/N=C/c3cc(I)ccc3O)N=NC=21,-8.8
CC(C)S(=O)(=O)[C@H]1CCC[C@]2(CCC[C@H](O)N2O)C1,-7.6
CCc1cc(O)ccc1O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O,-8.1
N#CC1=C(N)Nc2nc3ccccc3n2[C@H]1c1cccc(F)c1,-8.3
Cc1nn([C@@H](C)c2cc(F)c(Cl)cc2Cl)c(N)c1Br,-6.9
O=C1N[C@@H](c2ccccc2F)[C@H](C(=O)c2ccc(Cl)cc2)[C@](O)(C(F)(F)F)N1,-8.0
C[C@@H]1C[C@H](C)CN(C(=O)c2cc(Cl)ccc2N)C1,-7.7
O=C(NCC(=O)N1CC[C@@H]2CCCC[C@H]2C1)NC1CC1,-7.9
C[C@@H](C[NH+]1CCCC1)NC(=O)C1(/C(N)=N/O)CCCCC1,-7.4
Cc1cc(C)c([C@@H]2C(C#N)=C(N)Oc3[nH]nc(C)c32)c(C)c1COc1ccc(F)cc1,-9.2
CNC(=O)NC(=O)[C@@H](C)Sc1ccccc1N,-6.7
NS(=O)(=O)c1c(F)cc(Br)cc1Cl,-6.0
Cc1cc(Br)ccc1OCC(=O)NC(=S)Nc1cccc(CO)c1,-7.7
C[C@@H](NC(=O)[C@@H]1CCCCO1)c1ccc(S(N)(=O)=O)s1,-7.5
Cc1ccc(/C=C/C(=O)N[C@H]2c3ccccc3C[C@H]2O)o1,-7.9
COc1ccc(C)cc1-n1c(=O)c2ccccc2n2c(S[C@@H](C(=O)NC(N)=O)C(C)C)nnc12,-8.7
C[C@H](Oc1ccc(F)cc1Br)C(=O)NNC(=O)c1ccccc1O,-8.4
Cc1nn(C(N)=S)c(O)c1/N=N/c1ccccc1C(F)(F)F,-8.2
CC(C)(C)CC(C)(C)N1C[N@H+](C(C)(C)CC(C)(C)C)C[P@+](C)(c2ccccc2)C1,-7.2
C[C@@H](C[NH3+])Sc1nc([O-])c(C#N)c(-c2ccccc2)n1,-6.6
CC[C@@H](Oc1ccccc1)C(=O)N1CCC(C(=O)NN)CC1,-7.2
NC(=O)[C@H](/N=C1\C(=O)C(=O)[C@H]1Nc1cc[nH+]cc1)c1cccc(O)c1,-8.3
NC(=O)[C@H](/N=C1/C(=O)C(=O)[C@H]1N=c1cc[nH]cc1)c1cccc(O)c1,-7.6
O=c1[nH]cnc2[nH]c(-c3ccnc(/C=C/c4ccc(CN5CCOCC5)cc4)c3)cc12,-9.4
O=C1NCCc2[nH]c(-c3ccnc(Cl)c3)cc21,-7.7
N#CC1=C(N)[C@H]2Cc3cc(O)c([C@@H]4COCCO4)cc3O[C@H]2CC1=N,-8.1
Nc1nccc(Nc2ccc3n[nH]c(-c4ccc[nH]4)c3c2)n1,-8.0
