SMILES,docking_score
Cc1ccc(C)c(-c2cc(C(=O)[O-])nc(N(C)C)n2)c1,-8.4
Cc1cc(Cl)c2c(c1)[C@@]1([NH2+][C@@H](Cc3ccccc3)[C@H]3C(=O)N(CCc4ccccc4)C(=O)[C@H]31)C(=O)N2,-11.7
Cc1ccc(Cl)cc1S(=O)(=O)Nc1ccccc1[C@H](C)O,-7.7
Cc1cc(C(F)(F)F)c(C#N)c(SC[C@H](O)C[NH+]2CCC(C)CC2)n1,-8.2
C[C@@H](C(=O)Nc1c(N)cc(Cl)cc1Cl)N1CCOCC1,-7.7
Nc1cc(C(=O)Nc2ccc(F)c(F)c2)ccc1[N+](=O)[O-],-8.7
c1ccc(C([NH2+]Cc2nnnn2C2CC2)c2ccccc2)cc1,-9.1
N#C[C@@H]([C@@H]1CCOC1)N1CCC[NH2+]CC1,-6.1
Cn1nc(C(=O)NC2CCCC2)c2c1CCN(C(=O)C1=C[C@H]3N=CC=C3C=C1)C2,-10.4
CC(C)Cc1ccc([C@@H](C)[NH2+]CCS(=O)(=O)c2ccc(Br)cc2)cc1,-7.1
C[NH+](C)CCN1C(=O)/C(=C\c2ccco2)Oc2ccc(N)cc21,-7.7
C[C@@H]1CC[C@H](C(=O)[O-])[C@H]([NH+]2CCN(S(C)(=O)=O)CC2)C1,-7.2
O=C(OC[C@@H]1O[C@@H](O[C@]2(CO)O[C@@H](CO)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O)c1ccc([N+](=O)[O-])cc1,-10.9
CN(C(=O)[C@@H]1CNc2ccccc2O1)[C@H]1CCS(=O)(=O)C1,-8.1
CC(C)(C)c1ccc(C[NH2+]Cc2c(OC[C@H]3CCCO3)ccc3ccccc23)cc1,-9.7
CC(=O)Nc1ccc(S(=O)(=O)[C@H](C)C(=O)N2c3ccccc3C[C@@H]2C)cc1,-9.7
