SMILES,docking_score
COc1cc([C@H]2C(C#N)=C(N)Oc3[nH]nc(C)c32)ccc1OCc1ccccc1F,-10.1
C[C@H](c1ccccc1O)N(C)C(=O)c1ccc(Br)cc1O,-9.0
N#C[C@]12CCCC[C@H]1C[C@H]1CCCC[C@@]1(C#N)N2CCO,-6.8
C[C@@H](Cl)c1nnc(-c2cc(F)c(F)cc2[N+](=O)[O-])o1,-8.3
O=S(=O)(NC1CCCCC1)C1=CN=C([C@H]2NN[C@H](c3ccccc3)O2)C1,-10.5
CC(C)(C)c1ccc([C@@H]2CCCN2C(=O)Nc2nncs2)cc1,-8.9
Cc1ccc([N+](=O)[O-])cc1NC(=O)C(=O)N[C@@H](C)c1ccc(Cl)c(Cl)c1,-8.9
O=C(NNS(=O)(=O)c1ccc(Cl)cc1)C1CC[NH+](Cc2cccc(F)c2)CC1,-9.5
COc1cc2c(cc1/C=C/C(=O)N1CCN(S(=O)(=O)c3ccc(C(C)=O)cc3)CC1)O[C@H](C)C2,-10.0
CCn1/c(=N/C(=O)CSCC(=O)Nc2cc(C)on2)sc2cc(F)ccc21,-9.1
CC(C)NC(=O)c1ccc(Cl)cc1NC(=O)c1ccc2c(c1)OCC(=O)N2,-9.7
CC(C)(C)c1nc(CCNC(=O)[C@@H]2CCC[N@@H+]2Cc2ccccc2F)no1,-8.9
CCOc1c(Cl)cccc1NS(=O)(=O)c1ccc(C(=O)[O-])cc1,-8.5
CCOc1ccc(N[C@@H]2C(=O)[NH+]=c3cccc4c3=C2c2ccccc2C4=O)cc1,-11.1
CC(C)NC(=O)NC(=O)[C@@H](C)SC1=NC(=O)C2=C3CCCC[C@H]3SC2=N1,-9.9
CC(C)C[N@@H+](CC(=O)N1CCc2cc(S(N)(=O)=O)ccc21)C1CCCCC1,-9.0
CCCCNC(=O)CC1CCN(C(=O)[C@@H]2C=c3cc(Cl)ccc3=[NH+]2)CC1,-9.3
C[C@H](NC(=O)N[C@H]1CCS(=O)(=O)C1)C(=O)Nc1ccc(F)cc1,-8.4
O=[N+]([O-])c1ccc(/C=N/c2ccc3nc(C(F)(F)F)[nH]c3c2)cc1,-9.6
C[C@H]1CCN(C(=O)Cc2csc(N)n2)[C@H]2CCCC[C@H]12,-8.7
CC1(C)C[C@@H](c2nn3c(-c4ccco4)nnc3s2)CCO1,-8.5
CC(=O)N1CCCc2cc(S(=O)(=O)NC[C@H](C3=c4ccccc4=[NH+]C3)c3ccccc3)ccc21,-11.8
COc1ccc2[nH]cc(CC[NH2+][C@H]3CC(=O)N(c4ccc(C)cc4)C3=O)c2c1,-9.4
O=C(NC[C@@H](c1ccco1)[NH+]1CCCCC1)c1ccc([N+](=O)[O-])cc1Cl,-8.8
COc1ccccc1[C@H]1[C@H]2[NH+]=c3ccccc3=C2CCN1Cc1c(C)nc2sccn12,-7.8
Cc1cc(C)c(NC(=O)CNC(=O)CSc2nnc(C(F)(F)F)n2N)c(C)c1,-10.2
Cc1c(Cl)ccc(/N=N\c2c(O)ccc3ccccc23)c1S(=O)(=O)[O-],-9.2
C[C@H]1CCc2onc(C(=O)N3CCC4(CC3)OCCO4)c2C1,-9.7
CCOC(=O)[C@]1(C(F)(F)F)c2c(n[nH]c2-c2ccc(OC)cc2)NC(=[NH2+])[C@@H]1C#N,-7.3
CC/C(C)=N/Nc1nc2sc3c(c2c(=O)n1-c1ccccc1)CC(C)(C)OC3,-8.6
CC[C@H]1CCc2[nH]/c(=N\S(=O)(=O)c3cncc(F)c3)sc2C1,-8.7
Cn1cccc1C(=O)CN1c2cccc3cccc(c23)S1(=O)=O,-9.6
COC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@H]2C[C@@H]([NH2+]CCc3c[nH]cn3)C[C@@H](CC(C)C)[N@@H+]21,-9.8
O=C1NC2(CCCC2)C(=O)N1Cc1c(Cl)cccc1Cl,-7.9
Cc1ccc(NC(=S)NNC(=O)Cc2csc(N3CCNC3=O)n2)cc1,-8.8
Cc1ccc(CN(CC[NH+](C)C)C(=O)c2nc(-c3cccs3)oc2C)o1,-8.6
CN(CCC1=NO[C@H]([C@@H]2C=c3cc(Cl)ccc3=[NH+]2)N1)C(=O)c1ccc(N(C)C)cc1,-9.6
CC(C)[C@H]1CC[C@@H](C)C[C@H]1NC(=O)c1cc(=O)c2ccccc2[nH]1,-9.0
C[C@H]1CCCCN1S(=O)(=O)c1cc(Br)cnc1NN,-7.0
Cc1cc(S(=O)(=O)Oc2ccc3c(c2)CCC(=O)N3)ccc1Br,-10.2
Cc1cc2oc(=O)cc(CSc3nnc(C(F)(F)F)n3N)c2cc1Cl,-11.0
CCn1c(NCc2cn(-c3ccccc3)nc2-c2cccs2)[nH+]c2ccccc21,-10.3
CC[C@H](C)N1C(=O)[C@@H]2[C@@H]([C@@H](C)O)N[C@@]3(C(=O)Nc4ccccc43)[C@@H]2C1=O,-7.7
O=S(=O)(/C=C/c1ccccc1)Nc1cccc(S(=O)(=O)/N=C2/CCCN2)c1,-9.6
C#CCn1/c(=N/C(=O)c2ccc(C#N)cc2)sc2cccc(OC)c21,-8.0
Cc1cc(Cl)ccc1NC(=O)CSc1nnc(-c2ccco2)n1N,-9.0
O=C1Cc2cc(NS(=O)(=O)N3CCNCC3)c(Cl)cc2N1,-8.6
Fc1cccc(Cl)c1[C@H]1CC(c2ccccc2)=Nc2nnnn21,-10.4
O=C1CCCC2=C1[C@H](c1ccc([N+](=O)[O-])cc1)c1c(ccc3ccccc13)N2,-11.6
C[C@H](Cl)C(=O)N1CCCC[C@H]1c1nc(-c2ccc(Cl)cc2)no1,-8.9
COc1cccc([C@H]2NC(=O)N(C)C3=C2C(=O)N([C@H](C)C(C)C)C3)c1OC,-8.7
O=S(=O)(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc(O)cc1,-9.2
C[N@H+](Cc1cn(-c2ccccc2)nc1-c1ccccc1)Cn1c(=O)oc2ccccc21,-10.6
C[NH+](C)Cc1ccccc1CNC(=O)N1CCO[C@H](c2cccc(F)c2)C1,-9.5
CNS(=O)(=O)c1cccc(S(=O)(=O)N2CCCc3cc(F)ccc32)c1,-9.6
Cc1cccc(N2C(=O)[C@@H](CC(=O)Nc3ccc(Cl)cc3)N(Cc3ccco3)C2=O)c1,-9.9
CCNC(=O)c1ccc2c(c1)[C@H]1C=CC[C@@H]1[C@H](c1cccc([N+](=O)[O-])c1)N2,-8.8
C=CCN1C(=O)[C@H]2CC3=c4ccccc4=[NH+][C@@H]3CN2C1=S,-8.8
CCOC(=O)N1CCC[C@@H](C(=O)N2CCC(C(N)=O)CC2)C1,-7.9
CC(C)[C@H]([NH2+]Cc1cc(=O)n(C)c(=O)n1C)c1ccc(C2CCCCC2)cc1,-9.9
N=C1S[C@H]2CCCC2=C1c1nc(C2CCCC2)no1,-9.8
Cc1nc(SCC(=O)N2C[C@@H](C)O[C@@H](C)C2)nc(C)c1C,-8.0
CC(=O)[C@]1(O)CC[C@H]2[C@H]3CCC4=C/C(=N\OCC(=O)N[C@H]5CCCCNC5=O)CC[C@@]4(C)[C@@H]3CC[C@]21C,-9.1
Cc1ccc2n1CCN(C(=O)[C@H](Cl)c1ccccc1)[C@H]2C,-8.9
CC[C@@H](C(=O)N1CCC(C)CC1)n1cnc2oc(C)c(C)c2c1=O,-8.7
O=S1(=O)CCN2C(SCc3ccccc3)=NSC2=N1,-8.4
O=C(Nc1cccc(F)c1)c1cc([N+](=O)[O-])ccc1Cl,-8.8
C[C@@H](C(=O)NCc1ccc(F)cc1)N1C(=O)N2CCc3c([nH]c4ccccc34)[C@@]2(C)C1=O,-9.5
COc1ccc([C@@H]2c3c(oc4ccc(Br)cc4c3=O)C(=O)N2CC[NH+](C)C)cc1OC,-9.0
CON1C=C[C@]23C[C@@H](C)CC[C@@H]2OC2=C3[C@H](C[C@@H](O)C2)C1,-8.9
O=C(Nc1cccc(S(=O)(=O)/N=C2/CCCN2)c1)c1ccc(F)c(C(F)(F)F)c1,-10.5
CC[C@H]1CO[C@@H](C)CN1c1ccc(Br)cc1[N+](=O)[O-],-6.5
Cc1ccc(C)c(NC(=O)[C@@H]2C[C@@H]3CCCN3[C@]23C(=O)Nc2ccccc23)c1,-8.5
CC[C@@H]1CCCCN1S(=O)(=O)c1cc(Cl)ccc1N,-6.8
Cc1ccc([C@@H](CNC(=O)C(=O)Nc2cc(C)ccc2C)N2CC[NH+](C)CC2)cc1,-9.9
CCN1C(=O)[C@H](C)Oc2cc(NC(=O)Nc3ccc(Cl)cc3)ccc21,-8.7
CC[NH+](CC)CCn1/c(=N/C(=O)Cc2ccc(F)cc2)[nH]c2ccccc21,-9.1
NC(=O)C1CCN(C(=O)C2CCN(c3nc(Cc4ccc(F)cc4)ns3)CC2)CC1,-10.2
CCN1C(=O)C(/C=N/C[C@H]2c3c(cc4c(c3OC)OCO4)CC[N@@H+]2C)C(=O)NC1=S,-9.1
Cc1ccc(N[C@@H]2CCCc3sccc32)c([N+](=O)[O-])c1,-8.6
Cn1cc(Br)c(C(=O)Nc2ccc(S(=O)(=O)Nc3ccc(Cl)cc3)cc2)n1,-9.2
CNC(=O)Nc1ccc(C#N)cc1C(F)(F)F,-7.1
CN(C)c1ccccc1NC(=O)c1ccc(-n2ncc(C#N)c2N)cc1,-8.8
C[C@@H]1CCC[C@@H](C)C12NC(=O)N(CCBr)C2=O,-6.4
Cc1cccc(-c2nc(CNc3cccc(C#N)c3)[nH]c2-c2ccc3c(c2)OCO3)n1,-11.3
c1ccc(-c2nn3c(c2-c2ccc4ncn(CCC[NH+]5CCCC5)c4c2)CCC3)nc1,-10.8
Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3c(c2)OCO3)n1,-10.7
c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)cc1,-10.1
Cc1cccc(-c2[nH]ncc2-c2ccc3ncccc3n2)n1,-11.0
Fc1ccc(-c2[nH]ncc2-c2ccnc3ccccc23)nc1,-10.4
Cc1cccc(-c2nc(CNc3ccc(C(N)=O)cc3)[nH]c2C2=C[C@H]3NCC=N[C@H]3C=C2)n1,-10.6
Cc1nc(-c2[nH]c(N3CCN(S(C)(=O)=O)CC3)nc2-c2ccc3ncnn3c2)ccc1F,-11.2
COc1cccc(Nc2cc(Oc3cc(C)c(C)nc3-c3ccccn3)ccn2)c1,-10.5
C#Cc1ccc(CNc2nc(C3=CC=C4OCO[C@@H]4C3)c(-c3cccc(C)n3)[nH]2)cc1,-11.1
C[NH+](C)CCOc1ccc2c(-c3c(-c4ccccn4)nn4c3CCC4)ccnc2c1,-10.5
Cc1cccc(-c2[nH]c(CNc3ccc(C(N)=O)cc3)nc2C2=CC=C3OCO[C@H]3C2)n1,-11.3
c1ccc(-c2[nH]ncc2-c2ccnc3ccccc23)nc1,-9.9
Cc1cc(Oc2cc[nH]/c(=N\c3ccc(N4CCOCC4)cc3)c2)c(-c2ccccn2)nc1C,-11.3
CCc1cccc(-c2[nH]c(CNc3ccc(C#N)cc3)nc2C2=C[C@@H]3N=CCN[C@H]3C=C2)n1,-10.5
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,-8.9
c1ccc(-c2n[nH]cc2-c2ccnc(-c3ccc(OCCn4ccnc4)cc3)c2)nc1,-9.8
Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3nccnc3c2)n1,-10.6
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)[nH+]1,-9.2
COc1ccc(-c2cn(C)nc2-c2cccc(C)n2)cc1,-9.6
c1ccc(-c2[nH]ncc2-c2ccnc(-c3ccc(C[NH2+]C4CCOCC4)cc3)c2)nc1,-10.0
